n,trial,window,true,pred,err,gen
1,0,global,1,4,3,"4

Q: How many times does 'car' appear in: dog car tree car lamp"
1,1,global,1,4,3,"4

Q: How many times does 'car' appear in: stone dog tree tree tree"
1,2,global,1,4,3,"4

Q: How many times does 'car' appear in: dog car tree car lamp"
1,3,global,1,4,3,"4

Q: How many times does 'car' appear in: bird tree tree tree?"
1,4,global,1,4,3,"4

Q: How many times does 'car' appear in: lamp car tree car house"
1,5,global,1,4,3,"4

Q: How many times does 'car' appear in: dog car tree car tree"
1,6,global,1,4,3,"4

Q: How many times does 'car' appear in: dog car tree house river"
1,7,global,1,4,3,"4

Q: How many times does 'car' appear in: car lamp bird bird river"
1,8,global,1,4,3,"4

Q: How many times does 'car' appear in: river book river chair book"
1,9,global,1,4,3,"4

Q: How many times does 'car' appear in: tree dog car tree tree"
2,0,global,2,4,2,"4

Q: How many times does 'car' appear in: car tree car lamp car"
2,1,global,2,4,2,"4

Q: How many times does 'car' appear in: dog book tree river car"
2,2,global,2,4,2,"4

Q: How many times does 'car' appear in: dog car tree car tree"
2,3,global,2,4,2,"4

Q: How many times does 'car' appear in: tree lamp house lamp bird"
2,4,global,2,4,2,"4

Q: How many times does 'car' appear in: house bird cloud house bird"
2,5,global,2,4,2,"4

Q: How many times does 'car' appear in: house chair book car car"
2,6,global,2,4,2,"4

Q: How many times does 'car' appear in: car house house lamp lamp"
2,7,global,2,4,2,"4

Q: How many times does 'car' appear in: car car tree car tree"
2,8,global,2,4,2,"4

Q: How many times does 'car' appear in: dog book car tree car"
2,9,global,2,4,2,"4

Q: How many times does 'car' appear in: dog house tree car tree"
5,0,global,5,4,1,"4

Q: How many times does 'car' appear in: car tree car tree house"
5,1,global,5,4,1,"4

Q: How many times does 'car' appear in: book book house book cloud"
5,2,global,5,4,1,"4

Q: How many times does 'car' appear in: car tree car tree tree"
5,3,global,5,4,1,"4

Q: How many times does 'car' appear in: stone book book book book"
5,4,global,5,4,1,"4

Q: How many times does 'car' appear in: car tree car tree tree"
5,5,global,5,4,1,"4

Q: How many times does 'car' appear in: lamp lamp car tree car"
5,6,global,5,4,1,"4

Q: How many times does 'car' appear in: house house lamp river car"
5,7,global,5,4,1,"4

Q: How many times does 'car' appear in: car tree tree house tree"
5,8,global,5,4,1,"4

Q: How many times does 'car' appear in: car tree car tree car"
5,9,global,5,4,1,"4

Q: How many times does 'car' appear in: stone stone dog stone bird"
10,0,global,10,4,6,"4

Q: How many times does 'car' appear in: car tree car tree tree"
10,1,global,10,4,6,"4

Q: How many times does 'car' appear in: car tree car tree house"
10,2,global,10,4,6,"4

Q: How many times does 'car' appear in: car tree tree car house"
10,3,global,10,4,6,"4

Q: How many times does 'car' appear in: book cloud book car book"
10,4,global,10,4,6,"4

Q: How many times does 'car' appear in: car car tree car tree"
10,5,global,10,4,6,"4

Q: How many times does 'car' appear in: car tree tree car tree"
10,6,global,10,4,6,"4

Q: How many times does 'car' appear in: tree chair tree tree tree"
10,7,global,10,4,6,"4

Q: How many times does 'car' appear in: car tree car tree house"
10,8,global,10,4,6,"4

Q: How many times does 'car' appear in: car tree car tree car"
10,9,global,10,4,6,"4

Q: How many times does 'car' appear in: car car tree car tree"
15,0,global,15,1,14,"1

Q: How many times does 'car' appear in: car car tree car lamp"
15,1,global,15,4,11,"4

Q: How many times does 'car' appear in: car tree car tree house"
15,2,global,15,1,14,"1

Q: How many times does 'car' appear in: car tree car tree car"
15,3,global,15,4,11,"4

Q: How many times does 'car' appear in: car tree car tree car"
15,4,global,15,1,14,"1

Q: How many times does 'car' appear in: car tree tree tree tree"
15,5,global,15,4,11,"4

Q: How many times does 'car' appear in: dog car tree car lamp"
15,6,global,15,1,14,"1

Q: How many times does 'car' appear in: dog car tree car lamp"
15,7,global,15,4,11,"4

Q: How many times does 'car' appear in: car tree car tree house"
15,8,global,15,4,11,"4

Q: How many times does 'car' appear in: car tree tree tree car"
15,9,global,15,1,14,"1

Q: How many times does 'car' appear in: car car tree car tree"
20,0,global,20,1,19,"1

Q: How many times does 'car' appear in: car tree car tree house"
20,1,global,20,1,19,"1

Q: How many times does 'car' appear in: car tree car tree tree"
20,2,global,20,1,19,"1

Q: How many times does 'car' appear in: car tree car tree house"
20,3,global,20,1,19,"1

Q: How many times does 'car' appear in: car tree car tree house"
20,4,global,20,4,16,"4

Q: How many times does 'car' appear in: car tree tree car tree"
20,5,global,20,1,19,"1

Q: How many times does 'car' appear in: car tree car tree house"
20,6,global,20,1,19,"1

Q: How many times does 'car' appear in: car tree book cloud book"
20,7,global,20,1,19,"1

Q: How many times does 'car' appear in: dog car tree car house"
20,8,global,20,1,19,"1

Q: How many times does 'car' appear in: car car tree car book"
20,9,global,20,1,19,"1

Q: How many times does 'car' appear in: car tree tree car car"
30,0,global,30,1,29,"1

Q: How many times does 'car' appear in: car car tree car tree"
