n,trial,window,n_sinks,true,pred,err,gen
1,0,2,4,1,,,"I have a lot of work?
A: I have a lot of money?
A:"
1,1,2,4,1,,,"I have a lot of work?
A: I have a lot of money?
A:"
1,2,2,4,1,,,"I have a lot of work?
A: I have a lot of money?
A:"
1,3,2,4,1,,,"I have a lot of work?
A: I have a lot of money?
A:"
1,4,2,4,1,,,"I have a lot of work?
A: I have a lot of money?
A:"
1,5,2,4,1,,,"I have a lot of work?
A: I have a lot of money?
A:"
1,6,2,4,1,,,"I have a lot of work?
A: I have a lot of money?
A:"
1,7,2,4,1,,,"I have a lot of work?
A: I have a lot of money?
A:"
1,8,2,4,1,,,"I have a lot of work?
A: I have a lot of money?
A:"
1,9,2,4,1,,,"I have a lot of work?
A: I have a lot of money?
A:"
2,0,2,4,2,,,"I have a lot of work?
Q: What is a very good.
Q: What"
2,1,2,4,2,,,"I have a lot of work?
Q: What is a very good.
Q: What"
2,2,2,4,2,,,"I have a lot of work?
Q: What is a very good.
Q: What"
2,3,2,4,2,,,"I have a lot of work?
Q: What is a very good.
Q: What"
2,4,2,4,2,,,"I have a lot of work?
Q: What is a very good.
Q: What"
2,5,2,4,2,,,"I have a lot of work?
Q: What is a very good.
Q: What"
2,6,2,4,2,,,"I have a lot of work?
Q: What is a very good.
Q: What"
2,7,2,4,2,,,"I have a lot of work?
Q: What is a very good.
Q: What"
2,8,2,4,2,,,"I have a lot of work?
Q: What is a very good.
Q: What"
2,9,2,4,2,,,"I have a lot of work?
Q: What is a very good.
Q: What"
5,0,2,4,5,,,"I don't know.
Q: What is a very good.
Q: What is a"
5,1,2,4,5,,,"I don't know.
Q: What is a very good.
Q: What is a"
5,2,2,4,5,,,"I don't know.
Q: What is a very good.
Q: What is a"
5,3,2,4,5,,,"I don't know.
Q: What is a very good.
Q: What is a"
5,4,2,4,5,,,"I don't know.
Q: What is a very good.
Q: What is a"
5,5,2,4,5,,,"I don't know.
Q: What is a very good.
Q: What is a"
5,6,2,4,5,,,"I don't know.
Q: What is a very good.
Q: What is a"
5,7,2,4,5,,,"I don't know.
Q: What is a very good.
Q: What is a"
5,8,2,4,5,,,"I don't know.
Q: What is a very good.
Q: What is a"
5,9,2,4,5,,,"I don't know.
Q: What is a very good.
Q: What is a"
10,0,2,4,10,,,I'm not sure if you are a a a a a a a a a a a a a
10,1,2,4,10,,,I'm not sure if you are a a a a a a a a a a a a a
10,2,2,4,10,,,I'm not sure if you are a a a a a a a a a a a a a
10,3,2,4,10,,,I'm not sure if you are a a a a a a a a a a a a a
10,4,2,4,10,,,I'm not sure if you are a a a a a a a a a a a a a
10,5,2,4,10,,,I'm not sure if you are a a a a a a a a a a a a a
10,6,2,4,10,,,I'm not sure if you are a a a a a a a a a a a a a
10,7,2,4,10,,,I'm not sure if you are a a a a a a a a a a a a a
10,8,2,4,10,,,I'm not sure if you are a a a a a a a a a a a a a
