n,trial,true,pred,err,gen
1,0,1,4,3,"I see 'car' at positions 1,2,3,4. That's 4.
A: 4

Q: How many times does 'car' appear in: car tree car house?
I see 'car"
1,1,1,3,2,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car bird car lamp car?
I see 'ca"
1,2,1,2,1,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car car car car car car car car "
1,3,1,3,2,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: bird stone tree river chair car?"
1,4,1,3,2,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car bird car lamp car?
I see 'ca"
1,5,1,4,3,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car tree car house?
I see 'car' "
1,6,1,4,3,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: bird stone cloud tree house rive"
1,7,1,2,1,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car lamp bird bird river lamp ho"
1,8,1,4,3,"I see 'car' at positions 1,2,3,4,5. That's 4.
A: 4

Q: How many times does 'car' appear in: car car car car car car car "
1,9,1,3,2,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car tree car house?
I see 'car' "
2,0,2,4,2,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car tree car house?
I see 'car' "
2,1,2,2,0,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car bird car lamp car?
I see 'ca"
2,2,2,6,4,"I see 'car' at positions 1,2,3,4,5. That's 4.
A: 4

Q: How many times does 'car' appear in: car tree car house car bird "
2,3,2,2,0,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car chair car chair chair chair "
2,4,2,3,1,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car tree car house?
I see 'car' "
2,5,2,4,2,"I see 'car' at positions 1,2,3,4,5. That's 4.
A: 4

Q: How many times does 'car' appear in: car car car car car car car "
2,6,2,3,1,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car tree car house car?
I see 'c"
2,7,2,6,4,"I see 'car' at positions 1,2,3,4,5. That's 4.
A: 4

Q: How many times does 'car' appear in: car car chair car chair clou"
2,8,2,3,1,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car bird car lamp car?
I see 'ca"
2,9,2,4,2,"I see 'car' at positions 1,2,3,4. That's 4.
A: 4

Q: How many times does 'car' appear in: car tree car house?
I see 'car"
5,0,5,2,3,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car car car car car car car car "
5,1,5,2,3,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car car car car car car car car "
5,2,5,41,36,"I see 'car' at positions 1,2,3,4,5. That's 4.
A: 4

Q: How many times does 'car' appear in: car house car car bird tree "
5,3,5,3,2,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car bird car lamp car?
I see 'ca"
5,4,5,4,1,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car car tree car house car?
I se"
5,5,5,4,1,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car car tree car house car?
I se"
5,6,5,3,2,"I see 'car' at positions 1,2,3,4,5. That's 4.
A: 4

Q: How many times does 'car' appear in: car bird car lamp car?
I see"
5,7,5,4,1,"I see 'car' at positions 1,2,3,4,5. That's 4.
A: 4

Q: How many times does 'car' appear in: car car car car car car car "
5,8,5,2,3,"I see 'car' at positions 1,2,4. That's 2.
A: 2

Q: How many times does 'car' appear in: car chair house car book bird tr"
