n,trial,window,n_sinks,true,pred,err,gen
1,0,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,1,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,2,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,3,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,4,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,5,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,6,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,7,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,8,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,9,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
2,0,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
2,1,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
2,2,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
2,3,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
2,4,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
2,5,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
2,6,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
2,7,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
2,8,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
2,9,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
5,0,5,4,5,,,"I don't know.

Q: How many times have you been to the hospital?"
5,1,5,4,5,,,"I don't know.

Q: How many times have you been to the hospital?"
5,2,5,4,5,,,"I don't know.

Q: How many times have you been to the hospital?"
5,3,5,4,5,,,"I don't know.

Q: How many times have you been to the hospital?"
5,4,5,4,5,,,"I don't know.

Q: How many times have you been to the hospital?"
5,5,5,4,5,,,"I don't know.

Q: How many times have you been to the hospital?"
5,6,5,4,5,,,"I don't know.

Q: How many times have you been to the hospital?"
5,7,5,4,5,,,"I don't know.

Q: How many times have you been to the hospital?"
5,8,5,4,5,,,"I don't know.

Q: How many times have you been to the hospital?"
5,9,5,4,5,,,"I don't know.

Q: How many times have you been to the hospital?"
10,0,5,4,10,,,"I don't know.

Q: How many people are in the U.S.S"
10,1,5,4,10,,,"I don't know.

Q: How many people are in the U.S.S"
10,2,5,4,10,,,"I don't know.

Q: How many people are in the U.S.S"
10,3,5,4,10,,,"I don't know.

Q: How many people are in the U.S.S"
10,4,5,4,10,,,"I don't know.

Q: How many people are in the U.S.S"
10,5,5,4,10,,,"I don't know.

Q: How many people are in the U.S.S"
10,6,5,4,10,,,"I don't know.

Q: How many people are in the U.S.S"
10,7,5,4,10,,,"I don't know.

Q: How many people are in the U.S.S"
10,8,5,4,10,,,"I don't know.

Q: How many people are in the U.S.S"
10,9,5,4,10,,,"I don't know.

Q: How many people are in the U.S.S"
15,0,5,4,15,,,"I don't know.

Q: How many people are in the U.S.S"
15,1,5,4,15,,,"I don't know.

Q: How many people are in the U.S.S"
15,2,5,4,15,,,"I don't know.

Q: How many people are in the U.S.S"
15,3,5,4,15,,,"I don't know.

Q: How many people are in the U.S.S"
15,4,5,4,15,,,"I don't know.

Q: How many people are in the U.S.S"
15,5,5,4,15,,,"I don't know.

Q: How many people are in the U.S.S"
15,6,5,4,15,,,"I don't know.

Q: How many people are in the U.S.S"
15,7,5,4,15,,,"I don't know.

Q: How many people are in the U.S.S"
15,8,5,4,15,,,"I don't know.

Q: How many people are in the U.S.S"
15,9,5,4,15,,,"I don't know.

Q: How many people are in the U.S.S"
20,0,5,4,20,,,"I don't know.

Q: How many people are in the United States?
A"
20,1,5,4,20,,,"I don't know.

Q: How many people are in the United States?
A"
20,2,5,4,20,,,"I don't know.

Q: How many people are in the United States?
A"
20,3,5,4,20,,,"I don't know.

Q: How many people are in the United States?
A"
20,4,5,4,20,,,"I don't know.

Q: How many people are in the United States?
A"
20,5,5,4,20,,,"I don't know.

Q: How many people are in the United States?
A"
20,6,5,4,20,,,"I don't know.

Q: How many people are in the United States?
A"
20,7,5,4,20,,,"I don't know.

Q: How many people are in the United States?
A"
20,8,5,4,20,,,"I don't know.

Q: How many people are in the United States?
A"
20,9,5,4,20,,,"I don't know.

Q: How many people are in the United States?
A"
30,0,5,4,30,,,"I don't know.
Q: How many people are in the U.S.S."
30,1,5,4,30,,,"I don't know.
Q: How many people are in the U.S.S."
30,2,5,4,30,,,"I don't know.
Q: How many people are in the U.S.S."
30,3,5,4,30,,,"I don't know.
Q: How many people are in the U.S.S."
30,4,5,4,30,,,"I don't know.
Q: How many people are in the U.S.S."
30,5,5,4,30,,,"I don't know.
Q: How many people are in the U.S.S."
30,6,5,4,30,,,"I don't know.
Q: How many people are in the U.S.S."
30,7,5,4,30,,,"I don't know.
Q: How many people are in the U.S.S."
30,8,5,4,30,,,"I don't know.
Q: How many people are in the U.S.S."
30,9,5,4,30,,,"I don't know.
Q: How many people are in the U.S.S."
50,0,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
50,1,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
50,2,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
50,3,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
50,4,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
50,5,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
50,6,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
50,7,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
50,8,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
50,9,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
75,0,5,4,75,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,1,5,4,75,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,2,5,4,75,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,3,5,4,75,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,4,5,4,75,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,5,5,4,75,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,6,5,4,75,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,7,5,4,75,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,8,5,4,75,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,9,5,4,75,,,"I don't know.
Q: How many people are you talking about?
Q: And"
100,0,5,4,100,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,1,5,4,100,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,2,5,4,100,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,3,5,4,100,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,4,5,4,100,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,5,5,4,100,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,6,5,4,100,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,7,5,4,100,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,8,5,4,100,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,9,5,4,100,,,"I don't know.
Q: How many people are you?
Q: How many times"
