n,trial,window,n_sinks,true,pred,err,gen
1,0,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,1,5,4,1,,,"I don't know.

Q: How many times did you have to have a drink?"
1,2,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,3,5,4,1,,,"I don't know.

Q: How many people are there?
A: I don"
1,4,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,5,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,6,5,4,1,,,"I have a lot of people who are in the same boat.
Q: How many people are"
1,7,5,4,1,,,"I have a very small number of people.
Q: How many people are there?
A"
1,8,5,4,1,,,"I don't know.

Q: How many people are in the U.S.S"
1,9,5,4,1,,,"I have a lot of people who are not going to be able to do that.
Q:"
2,0,5,4,2,,,"I have a lot of people who are in the same boat.
Q: How many times have"
2,1,5,4,2,,,"I don't know.

Q: How many times have you been in a relationship with a"
2,2,5,4,2,,,"I don't know.

Q: How many times did you have to be in the hospital"
2,3,5,4,2,,,"I don't know.

Q: How many people are in the United States?
A"
2,4,5,4,2,,,"I have a very good idea of what the game is about.
Q: How many people are"
2,5,5,4,2,,,"The number of people who are in the room.
Q: How many times have you been to"
2,6,5,4,2,,,"I don't know.

Q: How many times have you been to the hospital?"
2,7,5,4,2,,,"I have a lot of people who are not going to be able to do that.
Q:"
2,8,5,4,2,,,"I have a lot of people who are in the same boat.
Q: How many times have"
2,9,5,4,2,,,"I have a few hundred.
Q: How many people are in the United States?
A"
5,0,5,4,5,,,"I don't know.
Q: How many people are there?
Q: How many times"
5,1,5,4,5,,,"The number of people who are willing to do something for you.
Q: How many times have"
5,2,5,4,5,,,"I don't know.
Q: How many people are in the United States?
A:"
5,3,5,4,5,,,"I don't know.
Q: How many people are in the U.S.S."
5,4,5,4,5,,,"I have a very small number of people.
Q: How many people are in the United States"
5,5,5,4,5,,,"I have a few hundred.
Q: How many people are in the world today?
A"
5,6,5,4,5,,,"I have a lot of people who are in the same boat.
Q: How many people are"
5,7,5,4,5,,,"I have a lot of people who are in the same boat.
Q: How many people are"
5,8,5,4,5,,,"I don't know.
Q: How many people are in the United States?
A:"
5,9,5,4,5,,,"I have a lot of people who are going to be in the next few years?
A:"
10,0,5,4,10,,,"I don't know.
Q: How many times did you have to have a drink?"
10,1,5,4,10,,,"I don't know.
Q: How many people are in the United States?
Q:"
10,2,5,4,10,,,"I don't know.
Q: How many times have you been to the hospital?
Q"
10,3,5,4,10,,,I have a lot of people who are going to be in the hospital for a long time.
10,4,5,4,10,,,"I don't know.
Q: How many people are you talking about?
Q: How"
10,5,5,4,10,,,"I don't know.
Q: How many people are in the U.S.S."
