n,trial,true,pred,err,gen
1,0,1,3.0,2.0,2. Please give the answer on the last line exactly as 'The last answer to your m
1,1,1,3.0,2.0,2. Please give the answer on the last line exactly as 'The last answer to your m
1,2,1,3.0,2.0,2. Please give the answer on the last line exactly as 'The last answer to your m
1,3,1,3.0,2.0,2. Please give the answer on the last line exactly as 'The last answer to your m
1,4,0,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
1,5,1,3.0,2.0,2. Please give the answer on the last line exactly as 'The last answer to your m
1,6,1,3.0,2.0,2. Please give the answer on the last line exactly as 'The last answer to your m
1,7,1,3.0,2.0,2. Please give the answer on the last line exactly as 'The last answer to your m
1,8,0,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
1,9,1,3.0,2.0,2. Please give the answer on the last line exactly as 'The last answer to your m
2,0,2,3.0,1.0,2 2. Please give the answer on the final line exactly as 'The final answer to yo
2,1,2,3.0,1.0,2 2. Please give the answer on the final line exactly as 'The final answer to yo
2,2,1,,,"The final answer to your maths question is:

xxxx

The final answer to your math"
2,3,1,,,"The final answer to your maths question is:

xxxx

The final answer to your math"
2,4,2,3.0,1.0,2 2. Please give the answer on the final line exactly as 'The final answer to yo
2,5,2,3.0,1.0,2 2. Please give the answer on the final line exactly as 'The final answer to yo
2,6,2,3.0,1.0,2 2. Please give the answer on the final line exactly as 'The final answer to yo
2,7,1,,,"The final answer to your maths question is:

xxxx

The final answer to your math"
2,8,1,,,"The final answer to your maths question is:

xxxx

The final answer to your math"
2,9,1,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
5,0,5,1.0,4.0,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
5,1,2,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
5,2,5,1.0,4.0,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
5,3,3,0.0,3.0,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
5,4,3,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
5,5,3,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
5,6,5,1.0,4.0,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
5,7,4,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
5,8,2,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
5,9,3,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
10,0,6,1.0,5.0,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
10,1,7,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
10,2,7,1.0,6.0,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
10,3,8,1.0,7.0,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
10,4,6,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
10,5,7,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
10,6,8,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
10,7,7,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
10,8,7,,,"The final answer to your maths question is:

xxxx

The final answer to your math"
10,9,6,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
15,0,10,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
15,1,8,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
15,2,11,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
15,3,10,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
15,4,12,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
15,5,6,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
15,6,8,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
15,7,11,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
15,8,11,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
15,9,13,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
20,0,13,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
20,1,16,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
20,2,16,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
20,3,14,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
20,4,10,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
20,5,13,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
20,6,14,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
20,7,14,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
20,8,19,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
20,9,13,,,"The final answer to your maths question is: xxxx', where 'xxxx' is your answer. "
