n,trial,true,pred,err,gen
1,0,1,4,3,"4

Q: How many times does 'car' appear in: dog car tree car lamp"
1,1,1,4,3,"4

Q: How many times does 'car' appear in: stone dog tree tree tree"
1,2,1,4,3,"4

Q: How many times does 'car' appear in: dog car tree car lamp"
1,3,1,4,3,"4

Q: How many times does 'car' appear in: bird tree tree tree tree"
1,4,1,4,3,"4

Q: How many times does 'car' appear in: lamp car tree car house"
1,5,1,4,3,"4

Q: How many times does 'car' appear in: car tree car tree tree"
1,6,1,4,3,"4

Q: How many times does 'car' appear in: dog car tree house river"
1,7,1,4,3,"4

Q: How many times does 'car' appear in: car lamp bird bird river"
1,8,1,4,3,"4

Q: How many times does 'car' appear in: river book river chair book"
1,9,1,4,3,"4

Q: How many times does 'car' appear in: tree dog car tree tree"
2,0,2,4,2,"4

Q: How many times does 'car' appear in: car tree car lamp car"
2,1,2,4,2,"4

Q: How many times does 'car' appear in: dog book tree river car"
2,2,2,4,2,"4

Q: How many times does 'car' appear in: dog car tree car tree"
2,3,2,4,2,"4

Q: How many times does 'car' appear in: car tree lamp house lamp"
2,4,2,4,2,"4

Q: How many times does 'car' appear in: house bird cloud house bird"
2,5,2,4,2,"4

Q: How many times does 'car' appear in: house chair book car car"
2,6,2,4,2,"4

Q: How many times does 'car' appear in: car tree tree tree house"
2,7,2,4,2,"4

Q: How many times does 'car' appear in: car tree car tree car"
2,8,2,4,2,"4

Q: How many times does 'car' appear in: dog book car tree car"
2,9,2,4,2,"4

Q: How many times does 'car' appear in: dog house tree car tree"
5,0,5,4,1,"4

Q: How many times does 'car' appear in: car tree car tree house"
5,1,5,4,1,"4

Q: How many times does 'car' appear in: book book house book cloud"
5,2,5,4,1,"4

Q: How many times does 'car' appear in: car tree tree tree dog"
5,3,5,4,1,"4

Q: How many times does 'car' appear in: stone book book book book"
5,4,5,4,1,"4

Q: How many times does 'car' appear in: car tree tree tree tree"
5,5,5,4,1,"4

Q: How many times does 'car' appear in: lamp lamp car tree car"
5,6,5,4,1,"4

Q: How many times does 'car' appear in: house house lamp river car"
5,7,5,4,1,"4

Q: How many times does 'car' appear in: car tree tree house tree"
5,8,5,4,1,"4

Q: How many times does 'car' appear in: car car tree car tree"
5,9,5,4,1,"4

Q: How many times does 'car' appear in: stone stone dog stone bird"
10,0,10,4,6,"4

Q: How many times does 'car' appear in: car tree car tree tree"
10,1,10,4,6,"4

Q: How many times does 'car' appear in: car tree car tree house"
10,2,10,4,6,"4

Q: How many times does 'car' appear in: car tree car tree house"
10,3,10,4,6,"4

Q: How many times does 'car' appear in: car tree car tree house"
