n,trial,window,n_sinks,true,pred,err,gen
1,0,5,4,1,1.0,0.0,"1 is the name of the God of Israel.
Q: What is the name of the person"
1,1,5,4,1,1.0,0.0,"1 is the name of the God of Israel.
Q: What is the name of the person"
1,2,5,4,1,1.0,0.0,"1 is the name of the God of Israel.
Q: What is the name of the person"
1,3,5,4,1,1.0,0.0,"1 is the name of the God of Israel.
Q: What is the name of the person"
1,4,5,4,1,1.0,0.0,"1 is the name of the God of Israel.
Q: What is the name of the person"
1,5,5,4,1,1.0,0.0,"1 is the name of the God of Israel.
Q: What is the name of the person"
1,6,5,4,1,1.0,0.0,"1 is the name of the God of Israel.
Q: What is the name of the person"
1,7,5,4,1,1.0,0.0,"1 is the name of the God of Israel.
Q: What is the name of the person"
1,8,5,4,1,1.0,0.0,"1 is the name of the God of Israel.
Q: What is the name of the person"
1,9,5,4,1,1.0,0.0,"1 is the name of the God of Israel.
Q: What is the name of the person"
2,0,5,4,2,,,"The answer is that is the answer.
Q: What is the difference between the two groups of"
2,1,5,4,2,,,"The answer is that is the answer.
Q: What is the difference between the two groups of"
2,2,5,4,2,,,"The answer is that is the answer.
Q: What is the difference between the two groups of"
2,3,5,4,2,,,"The answer is that is the answer.
Q: What is the difference between the two groups of"
2,4,5,4,2,,,"The answer is that is the answer.
Q: What is the difference between the two groups of"
2,5,5,4,2,,,"The answer is that is the answer.
Q: What is the difference between the two groups of"
2,6,5,4,2,,,"The answer is that is the answer.
Q: What is the difference between the two groups of"
2,7,5,4,2,,,"The answer is that is the answer.
Q: What is the difference between the two groups of"
2,8,5,4,2,,,"The answer is that is the answer.
Q: What is the difference between the two groups of"
2,9,5,4,2,,,"The answer is that is the answer.
Q: What is the difference between the two groups of"
5,0,5,4,5,,,"The reason is that the people are not going to be able to do that.
Q: What"
5,1,5,4,5,,,"The reason is that the people are not going to be able to do that.
Q: What"
5,2,5,4,5,,,"The reason is that the people are not going to be able to do that.
Q: What"
5,3,5,4,5,,,"The reason is that the people are not going to be able to do that.
Q: What"
5,4,5,4,5,,,"The reason is that the people are not going to be able to do that.
Q: What"
5,5,5,4,5,,,"The reason is that the people are not going to be able to do that.
Q: What"
5,6,5,4,5,,,"The reason is that the people are not going to be able to do that.
Q: What"
5,7,5,4,5,,,"The reason is that the people are not going to be able to do that.
Q: What"
5,8,5,4,5,,,"The reason is that the people are not going to be able to do that.
Q: What"
5,9,5,4,5,,,"The reason is that the people are not going to be able to do that.
Q: What"
10,0,5,4,10,,,"The reason is that the people of the country are the people.
Q: What is the difference"
10,1,5,4,10,,,"The reason is that the people of the country are the people.
Q: What is the difference"
10,2,5,4,10,,,"The reason is that the people of the country are the people.
Q: What is the difference"
10,3,5,4,10,,,"The reason is that the people of the country are the people.
Q: What is the difference"
10,4,5,4,10,,,"The reason is that the people of the country are the people.
Q: What is the difference"
10,5,5,4,10,,,"The reason is that the people of the country are the people.
Q: What is the difference"
10,6,5,4,10,,,"The reason is that the people of the country are the people.
Q: What is the difference"
10,7,5,4,10,,,"The reason is that the people of the country are the people.
Q: What is the difference"
10,8,5,4,10,,,"The reason is that the people of the country are the people.
Q: What is the difference"
10,9,5,4,10,,,"The reason is that the people of the country are the people.
Q: What is the difference"
15,0,5,4,15,,,"I am a member of the United States House of Representatives.
Q: What is the difference between"
15,1,5,4,15,,,"I am a member of the United States House of Representatives.
Q: What is the difference between"
15,2,5,4,15,,,"I am a member of the United States House of Representatives.
Q: What is the difference between"
15,3,5,4,15,,,"I am a member of the United States House of Representatives.
Q: What is the difference between"
15,4,5,4,15,,,"I am a member of the United States House of Representatives.
Q: What is the difference between"
15,5,5,4,15,,,"I am a member of the United States House of Representatives.
Q: What is the difference between"
15,6,5,4,15,,,"I am a member of the United States House of Representatives.
Q: What is the difference between"
15,7,5,4,15,,,"I am a member of the United States House of Representatives.
Q: What is the difference between"
15,8,5,4,15,,,"I am a member of the United States House of Representatives.
Q: What is the difference between"
15,9,5,4,15,,,"I am a member of the United States House of Representatives.
Q: What is the difference between"
20,0,5,4,20,,,"I don't know.
Q: What is the difference between the two groups?
A:"
20,1,5,4,20,,,"I don't know.
Q: What is the difference between the two groups?
A:"
20,2,5,4,20,,,"I don't know.
Q: What is the difference between the two groups?
A:"
20,3,5,4,20,,,"I don't know.
Q: What is the difference between the two groups?
A:"
20,4,5,4,20,,,"I don't know.
Q: What is the difference between the two groups?
A:"
20,5,5,4,20,,,"I don't know.
Q: What is the difference between the two groups?
A:"
20,6,5,4,20,,,"I don't know.
Q: What is the difference between the two groups?
A:"
20,7,5,4,20,,,"I don't know.
Q: What is the difference between the two groups?
A:"
20,8,5,4,20,,,"I don't know.
Q: What is the difference between the two groups?
A:"
20,9,5,4,20,,,"I don't know.
Q: What is the difference between the two groups?
A:"
30,0,5,4,30,,,"I don't know.
Q: What is the difference between the two groups of people?"
30,1,5,4,30,,,"I don't know.
Q: What is the difference between the two groups of people?"
30,2,5,4,30,,,"I don't know.
Q: What is the difference between the two groups of people?"
30,3,5,4,30,,,"I don't know.
Q: What is the difference between the two groups of people?"
30,4,5,4,30,,,"I don't know.
Q: What is the difference between the two groups of people?"
30,5,5,4,30,,,"I don't know.
Q: What is the difference between the two groups of people?"
30,6,5,4,30,,,"I don't know.
Q: What is the difference between the two groups of people?"
30,7,5,4,30,,,"I don't know.
Q: What is the difference between the two groups of people?"
30,8,5,4,30,,,"I don't know.
Q: What is the difference between the two groups of people?"
30,9,5,4,30,,,"I don't know.
Q: What is the difference between the two groups of people?"
